flow_rate_sm3_day,flow_rate_cap_sm3_day,low_permeability_flow_cap,cycle_length_days,cg_ratio,cg_type,permeability_md,porosity,pressure_mpa,temperature_c,top_depth_m,mean_depth_m,reservoir_stratum,reservoir_cluster,representative_id,source_row_index,source_field_name
670396.3289739809,1500000.0,False,125.3972631338966,2.254739106811,N2,100.0,0.14,13.7,57.56,1358.94,1539.84,0,1,1,22,Bunter Closure 7
12828.07182036658,1500000.0,False,192.35283852071024,2.1404967677024103,N2,500.0,0.23,30.9,94.54,2248.0,2848.65,3,17,17,86,Fulmar_030_29
10369.085421260566,1500000.0,False,198.1137606325085,2.4435760554779766,CH4,1600.0,0.23,50.7,106.88,2472.0,2840.34,3,10,10,58,Fulmar_021_25
155874.8111778548,1500000.0,False,363.0482283512756,0.3161650434870037,CH4,1600.0,0.23,29.7,81.29,2094.0,2196.3,3,14,14,54,Fulmar_021_16
261320.52124247706,1500000.0,False,323.5913846554632,0.6502579181119709,N2,250.0,0.15,8.1,36.0,800.0,2099.42,1,15,15,131,Orrin_012_26
67162.53628212804,1500000.0,False,20.234828038793637,3.5691957305664737,CO2,350.0,0.16,13.3,56.29345,1322.67,1847.3,2,19,19,24,Bunter Sandstone Formation Zone 2
25487.808467073286,1500000.0,False,114.30041098180877,2.0352939360002464,H2,1600.0,0.23,50.7,106.88,2472.0,2840.34,3,10,10,58,Fulmar_021_25
348368.418797158,1500000.0,False,128.41736351450618,3.388365456305266,CO2,100.0,0.23,0.2,8.8,20.46,617.17,0,11,11,143,Spilsby Sandstone Formation 1
39537.47207419064,1500000.0,False,199.12065796420845,1.1323316153456118,CO2,1600.0,0.23,50.7,106.88,2472.0,2840.34,3,10,10,58,Fulmar_021_25
14716.68812357298,1500000.0,False,309.3300469712073,3.4406524648358756,N2,100.0,0.23,0.2,8.8,20.46,617.17,0,11,11,143,Spilsby Sandstone Formation 1
83871.52547034534,1500000.0,False,19.53836693548073,1.6400237227372996,N2,1600.0,0.23,29.7,81.29,2094.0,2196.3,3,14,14,54,Fulmar_021_16
17373.838574578742,1500000.0,False,102.25269627661943,3.4813048273627123,N2,330.0,0.14,17.3,60.43,1589.0,2504.62,2,13,13,129,Nansen_210_25
103179.96340223032,1500000.0,False,219.6866284792071,1.6826745221111479,CO2,330.0,0.14,17.3,60.43,1589.0,2504.62,2,13,13,129,Nansen_210_25
1059955.3975043048,1500000.0,False,255.42451060965715,0.336823732808827,CO2,1600.0,0.23,50.7,106.88,2472.0,2840.34,3,10,10,58,Fulmar_021_25
37154.352638071934,1500000.0,False,48.22893870325512,1.518855824998667,H2,100.0,0.23,0.2,8.8,20.46,617.17,0,11,11,143,Spilsby Sandstone Formation 1
660973.1823707983,1500000.0,False,119.86286063249655,0.9847148941829529,CH4,100.0,0.21,13.5,56.88215,1339.49,1457.1,0,3,3,14,Bunter Closure 4
103646.46788870438,1500000.0,False,108.74461377723273,0.3599565613269704,CH4,100.0,0.16,8.9,41.12,889.06,1067.15,0,9,9,17,Bunter Closure 42
44045.15959824322,1500000.0,False,134.3186405252913,0.04158814551312468,N2,100.0,0.29,7.3,35.36275,724.65,1297.48,0,7,7,3,Bunter Closure 1
54893.74927479936,100000.0,True,243.659714992268,0.4155421444787739,CH4,50.0,0.15,14.1,59.11375,1403.25,1660.17,0,18,18,11,Bunter Closure 37
609903.4276049712,1500000.0,False,54.064687608019064,1.6578231328071649,N2,306.6,0.18,29.1,86.3,2034.0,2167.5,1,8,8,59,Fulmar_021_28
268429.1643535119,1500000.0,False,162.93773788650392,2.8236787896036235,H2,350.0,0.16,13.3,56.29345,1322.67,1847.3,2,19,19,24,Bunter Sandstone Formation Zone 2
47649.9314565009,1500000.0,False,37.78030357712744,1.147963752078456,H2,350.0,0.14,10.3,45.7819,1022.34,1421.13,2,2,2,23,Bunter Sandstone Formation Zone 1
15581.347683835056,1500000.0,False,73.22773168510736,0.3851909512019045,N2,500.0,0.23,30.9,94.54,2248.0,2848.65,3,17,17,86,Fulmar_030_29
15362.727704633566,1500000.0,False,321.66229599346156,3.4784556680730487,N2,100.0,0.19,7.3,35.22,720.61,1102.04,0,5,5,16,Bunter Closure 41
22011.215584498234,1500000.0,False,346.9516469025085,3.824158361720811,CO2,330.0,0.14,17.3,60.43,1589.0,2504.62,2,13,13,129,Nansen_210_25
125441.3235561187,1500000.0,False,357.9417407788761,3.7950695282405795,N2,306.6,0.18,29.1,86.3,2034.0,2167.5,1,8,8,59,Fulmar_021_28
11273.061411559731,1500000.0,False,63.9233297106205,3.682323373719195,CH4,100.0,0.19,7.3,35.22,720.61,1102.04,0,5,5,16,Bunter Closure 41
98071.7963354516,1500000.0,False,179.6076118539114,1.1105317341689573,H2,100.0,0.29,7.3,35.36275,724.65,1297.48,0,7,7,3,Bunter Closure 1
33292.685447101816,1500000.0,False,272.7160904289941,0.46572735241326874,CO2,1600.0,0.23,29.7,81.29,2094.0,2196.3,3,14,14,54,Fulmar_021_16
385280.3447498795,1500000.0,False,144.17016596872904,2.5268389579626795,CH4,250.0,0.15,8.1,36.0,800.0,2099.42,1,15,15,131,Orrin_012_26
