Field Name,CO2 Endpoint RelPerm,Formation Temp [C],Latitude,Longitude,Number of Wells,Permeability [mD],Pore Pressure [MPa],Pore Volume,Porosity [-],Salinity [ppm],Swr [-],Temp Gradient
Bunter Closure 41,0.237,35.22,54.341867,1.235258,1,100,7.3,1320.325185465,0.19,180000,0.423,37.773552962074
Bunter Closure 42,0.237,41.12,54.408695,1.084344,1,100,8.9,725.8973436,0.16,180000,0.423,37.25282883045
Bunter Closure 46,0.237,38.97,54.049356,0.712246,12,100,8.3,1480.810976865,0.15,180000,0.423,37.411966514055
Bunter Closure 49,0.237,75.01,54.560794,2.275864,1,15,18.7,99.14323419,0.14,180000,0.423,36.075952774473
Bunter Closure 5,0.237,52.26075,54.466272,1.421954,2,100,13,2199.1177296,0.2,180000,0.423,36.656383287093
Bunter Closure 50,0.237,81.88,54.629619,2.421675,0,15,20.7,61.539145668,0.14,180000,0.423,35.971993650855
Bunter Closure 7,0.237,57.56,54.101063,0.98824,2,100,13.7,102.588870384,0.14,180000,0.423,36.469601306901
Bunter Sandstone Formation Zone 1,0.237,45.7819,53.376221,0.494566,60,350,10.3,89148.90662564,0.14,167550,0.423,36.95629633977
Bunter Sandstone Formation Zone 2,0.237,56.29345,53.908173,0.1774,73,350,13.3,60770.517843024,0.16,167500,0.423,36.512092963475
Bunter Sandstone Formation Zone 4,0.237,12.2771,54.334928,1.639581,409,100,0.7,279836.93406778,0.14,180000,0.423,65.740854595758
Bunter Sandstone Formation Zone 5,0.237,64.46,54.500856,2.65933,38,15,15.7,17484.30076932,0.14,167550,0.423,36.282782065535
Burns_013_21,0.237,34,58.250281,-1.778705,411,250,8.1,245783.126862,0.15,46769.84,0.423,32.5
Burns_015_26,0.237,138.34,58.01053,-0.029115,20,250,41,8408.641626,0.15,96893.48,0.423,33.41194565496
Claymore_014_20,0.237,130.52,58.37212,-0.018038,29,650,41.8,6026.3430948,0.21,88899.85,0.423,30.753012048193
Claymore_014_25,0.237,124.74,58.29602,0.005872,14,650,50.6,5534.4302055,0.21,74695.26,0.423,31.948549534756
Claymore_015_22,0.237,110.56,58.325783,0.365973,13,650,58.1,4591.2963537,0.21,54499.83,0.423,32
Claymore_015_23,0.237,90.59,58.240165,0.395298,116,650,46.7,6412.9163994,0.21,49542.78,0.423,31.949709864603
Cook_211_23,0.237,99.28,61.153792,1.565668,855,400,38.84,12626.615325,0.15,64918.55,0.423,35
Cormorant_003_02,0.237,101.24,60.9,1.25,498,40,46.48,166188.898304,0.16,58691.09,0.423,32.499128616243
Cormorant_003_12,0.237,39.72,61.06,0.97,178,40,10.81,54691.2256,0.16,47945.62,0.423,33.495248152059
Cormorant_003_14,0.237,122.6,60.55615,1.68804,101,40,55.58,37683.89369856,0.16,67743.4,0.423,34.992366412214
Cormorant_003_25,0.237,103.5,60.29038,1.84111,8,40,66.75,7298.428928,0.16,39681.58,0.423,32.976519337017
Cormorant_009_05,0.237,102.9,59.95,1.9,6,40,75.58,4929.5963136,0.16,30082.18,0.423,28.977099236641
Cormorant_009_09,0.237,113.3,59.24,0.26,5,40,64.17,5132.636928,0.16,50743.11,0.423,29.000275406224
Cormorant_009_13,0.237,103,59.61,1.61,53,40,36.84,5518.14984,0.16,70129.18,0.423,28.998778998779
Cormorant_009_14,0.237,134.7,59.55,1.78,5,40,77.41,17418.0814848,0.16,56140.74,0.423,28.491117607376
Cormorant_009_18,0.237,90.16,59.37,1.44,501,40,26.78,194657.2938,0.16,69831.86,0.423,32.5
Cormorant_009_19,0.237,105.99,59.48,1.64,29,40,43.48,9681.1204608,0.16,65803.73,0.423,31.949788066515
Cormorant_211_01,0.237,81.59,61.77212,0.840955,39,40,37.54,73673.66197248,0.16,51822.81,0.423,31.570141570142
Cormorant_211_06,0.237,117.06,61.71,1.05,3,40,71.97,51436.7127552,0.16,45950.85,0.423,34.999887676869
Cormorant_211_12,0.237,117.06,61.57,1.26,125,40,48.97,48608.33030144,0.16,69676.81,0.423,34.999887676869
Cormorant_211_13,0.237,100.01,61.61,1.53,54,40,49.05,41795.54088192,0.16,54994.89,0.423,34.998098136173
Cormorant_211_21,0.237,101.73,61.22,1.03,295,40,34.55,19304.870664,0.16,71401.5,0.423,35
Cormorant_211_23,0.237,94.46,61.15,1.57,854,40,39.79,125129.24678144,0.16,59943.99,0.423,31.9985196151
